event_name,event_time,event_mag,net,sta,comp,slat,slon,sevla,dist,snr,polarity,sharpness,ray_azimuth,take_off_angle,P_time,S_time
sparta1.4525,2020-08-10T22:59:10,-1.7,ET,S2NC,HHZ,36.46379,-81.14582,934.0,4.7434826,2.106426737711872,D,E,219.62718,,2020-08-10T22:59:10.871515Z,2020-08-10T22:59:11.467683Z
sparta1.4525,2020-08-10T22:59:10,-1.7,N4,U54A,HHZ,36.5209,-81.8204,837.0,63.50952,0.7644475305256092,x,x,272.63132,,2020-08-10T22:59:20.953815Z,2020-08-10T22:59:28.361895Z
sparta1.4525,2020-08-10T22:59:10,-1.7,N4,U56A,HHZ,36.3472,-80.3829,363.0,67.46491,1.3392379510044066,x,x,104.02121,,2020-08-10T22:59:21.635355Z,2020-08-10T22:59:29.504360Z
sparta1.4525,2020-08-10T22:59:10,-1.7,N4,V55A,HHZ,35.8518,-81.2149,313.0,72.15752,-0.6760371761023704,x,x,187.39622,,2020-08-10T22:59:22.434799Z,2020-08-10T22:59:30.850549Z
sparta1.4525,2020-08-10T22:59:10,-1.7,US,BLA,BHZ,37.2113,-80.42049,634.0,100.46126,1.6211934223871272,x,x,37.668304,62.84452922172957,2020-08-10T22:59:27.322559Z,2020-08-10T22:59:39.037796Z
sparta1.4681,2020-08-10T23:21:37,-1.17,ET,GFM,HHZ,36.111,-81.807,1726.0,76.51147,0.2836357833119643,x,x,237.95448,62.83349863202399,2020-08-10T23:21:50.192638Z,2020-08-10T23:21:59.114861Z
sparta1.4681,2020-08-10T23:21:37,-1.17,ET,S1NC,HHZ,36.4787,-81.09453,874.0,0.7023913,1.7034120040128231,x,x,267.10052,,2020-08-10T23:21:37.239768Z,2020-08-10T23:21:37.408686Z
sparta1.4681,2020-08-10T23:21:37,-1.17,ET,S2NC,HHZ,36.46379,-81.14582,934.0,5.561551,2.4038008372355106,U,E,252.32886,,2020-08-10T23:21:37.973452Z,2020-08-10T23:21:38.638512Z
sparta1.4681,2020-08-10T23:21:37,-1.17,N4,U54A,HHZ,36.5209,-81.8204,837.0,65.896835,-0.2832672610074322,x,x,274.26147,,2020-08-10T23:21:48.363096Z,2020-08-10T23:21:56.048010Z
sparta1.4681,2020-08-10T23:21:37,-1.17,N4,U56A,HHZ,36.3472,-80.3829,363.0,64.79767,-0.19006626652840175,x,x,102.83845,,2020-08-10T23:21:48.173576Z,2020-08-10T23:21:55.730316Z
sparta1.4681,2020-08-10T23:21:37,-1.17,N4,V55A,HHZ,35.8518,-81.2149,313.0,70.54721,0.6797126331197345,x,x,189.44792,,2020-08-10T23:21:49.155412Z,2020-08-10T23:21:57.382257Z
sparta1.4681,2020-08-10T23:21:37,-1.17,US,BLA,BHZ,37.2113,-80.42049,634.0,100.67131,-1.1773449409520906,x,x,35.976067,62.83329129600425,2020-08-10T23:21:54.357865Z,2020-08-10T23:22:06.097001Z
sparta1.4795,2020-08-10T23:38:09,-1.49,ET,GFM,HHZ,36.111,-81.807,1726.0,75.31088,0.4142546637485727,x,x,237.80948,,2020-08-10T23:38:21.984924Z,2020-08-10T23:38:30.766636Z
sparta1.4795,2020-08-10T23:38:09,-1.49,ET,S1NC,HHZ,36.4787,-81.09453,874.0,0.6090517,2.4590908573931975,U,E,42.603733,,2020-08-10T23:38:09.132650Z,2020-08-10T23:38:09.229126Z
sparta1.4795,2020-08-10T23:38:09,-1.49,ET,S2NC,HHZ,36.46379,-81.14582,934.0,4.3551593,-0.8582982540659225,x,x,253.93771,,2020-08-10T23:38:09.747087Z,2020-08-10T23:38:10.259107Z
sparta1.4795,2020-08-10T23:38:09,-1.49,N4,U54A,HHZ,36.5209,-81.8204,837.0,64.82451,-1.4011324873771462,x,x,274.75366,,2020-08-10T23:38:20.177158Z,2020-08-10T23:38:27.736275Z
